Model,Augmentation Scenario,Training Time,Testing Accuracy,Testing Loss
efficientnet-b0,default,4347.759182453156,0.994,0.0559238892495632
efficientnet-b0,gaussian blur,4347.759182453156,0.983,0.1011620224118232
efficientnet-b0,gaussian noise,4347.759182453156,0.837,0.6602708177566529
efficientnet-b0,random affine,4347.759182453156,0.994,0.0559238892495632
mobilenet_v3_small,default,2882.5309290885925,0.835,0.6978037991523742
mobilenet_v3_small,gaussian blur,2882.5309290885925,0.739,1.1369582934379578
mobilenet_v3_small,gaussian noise,2882.5309290885925,0.31,2.983248411178589
mobilenet_v3_small,random affine,2882.5309290885925,0.835,0.6978037991523742
resnet18,default,2860.277599334717,0.933,0.3752497839927673
resnet18,gaussian blur,2860.277599334717,0.935,0.4593805994987487
resnet18,gaussian noise,2860.277599334717,0.587,1.809387767791748
resnet18,random affine,2860.277599334717,0.933,0.3752497839927673
vgg19,default,7319.68018746376,0.953,0.1594089881181717
vgg19,gaussian blur,7319.68018746376,0.926,0.2296832839846611
vgg19,gaussian noise,7319.68018746376,0.748,0.8774957666397095
vgg19,random affine,7319.68018746376,0.9530000000000001,0.1594089881181717
